Words		# of Occurances
"'Not		1632
"A		4896
"Ah!"		1632
"All		3264
"Am		1632
"And		19584
"Are		1632
"As		8160
"At		4896
"Back		3264
"Balloola,"		1632
"Bank		1632
"Beast!"		1632
"Because		1632
"Beyond,"		1632
"Big		4896
"Blasted		3264
"Blood		1632
"Bow		1632
"But		16320
"But,		3264
"But,"		6528
"Can't		4896
"Catch		1632
"Cease!"		1632
"Chance,"		1632
"Clean,		1632
"Come		4896
"Confound		4896
"Coo-Ee--Moreau!"		1632
"Crew,"		1632
"Damn!"		1632
"Damnation!"		1632
"Decidedly,"		1632
"Do		6528
"Doctor		1632
"Don't		4896
"Don't,"		1632
"Drink!"		3264
"Drink,		1632
"Eat		3264
"Eat!"		1632
"Even		4896
"Evil		3264
"Excellent		1632
"Fasten		1632
"For		14688
"From		1632
"Get--Out		1632
"Go		11424
"Goes		1632
"Good		3264
"Good!"		1632
"Good-Morning,		1632
"Great		1632
"Hail,"		1632
"Happy		1632
"Has		1632
"Have		3264
"He		37536
"He's		6528
"Heaven-Forsaken		1632
"Here		1632
"Hey!"		3264
"Him		1632
"Hold		3264
"Holding		1632
"Home!"		1632
"How		3264
"Hullo!"		6528
"Hullo,		1632
"Hush!"		1632
"I		81600
"I'd		1632
"I'll		3264
"I'm		19584
"I've		6528
"I--Master."		1632
"If		8160
"In		4896
"Increase		1632
"Ipecacuanha"		1632
"Ipecacuanha,"		1632
"Is		13056
"It		34272
"It's		9792
"Just		1632
"Keep		1632
"Lady		9792
"Latin,		1632
"Law		1632
"Left		1632
"Let		3264
"Listen		1632
"Little		3264
"Look		8160
"Looks		1632
"M'ling!"		1632
"M'ling,		1632
"May		1632
"Medusa"		1632
"Men		1632
"Monsters		1632
"Montgomery		3264
"Montgomery,"		3264
"More!		1632
"Moreau!"		3264
"Moreau?"		1632
"Much		1632
"My		4896
"Myrtle,"		1632
"Never		1632
"No		1632
"No!"		1632
"No,		1632
"No."		1632
"No;		1632
"None		19584
"None,		1632
"Not		21216
"Now		1632
"Of		3264
"Oh!"		3264
"Oh,		1632
"Ollendorffian		1632
"On!		1632
"On!"		1632
"One,		1632
"Over		1632
"Overboard		3264
"Overboard!"		1632
"Pointed		1632
"Pointed,"		1632
"Precisely,"		1632
"Prendick		1632
"Prendick!"		4896
"Prendick,		3264
"Prendick,"		3264
"Presently		1632
"Presently,"		1632
"Punishment		1632
"Rather		1632
"Replenish		1632
"Right		1632
"Ruin		1632
"Rum!"		1632
"Said		1632
"Salute!		1632
"Salute!"		1632
